transaction_amount,merchant_category,time_of_day,day_of_week,customer_age,transaction_count_24h,avg_transaction_amount,is_foreign,is_online,is_fraud
11.35055198442851,4,1,0,55,25,18.50341734820708,0,0,0
5.899124559003951,3,17,4,47,44,3.298334025100477,0,1,0
19.733702420460872,2,10,2,18,7,4.220447624337158,1,1,0
2.19182330752582,2,0,2,25,31,7.888478446877882,0,1,0
81.20359543821918,2,15,3,30,31,28.482573927658713,0,0,0
18.477777324605796,4,16,2,37,0,20.176849703642603,0,0,0
19.094141634606505,4,15,6,23,2,5.353596154373277,0,1,0
17.623796441687926,4,9,5,67,0,6.731012876985886,1,1,0
237.52553418122915,5,16,6,67,14,12.840402423956748,0,1,0
196.03957130086008,1,2,6,65,49,5.470294782119195,0,0,0
152.34407898158884,2,17,5,25,19,7.239507656288051,0,0,0
17.680061462898536,2,18,3,47,2,24.333864912213592,0,1,0
3.7680688591372657,5,13,0,66,14,3.572187667629453,0,0,0
19.609827343845865,2,20,2,57,36,10.565910910657925,0,0,0
32.18822270332649,2,1,4,32,20,9.808358297442838,0,0,0
67.95973896860048,4,11,3,75,41,11.671434322209153,0,1,0
32.0332399352322,4,10,2,27,38,15.866518378801395,0,0,0
4.307073131946063,1,16,0,50,22,22.52417680662031,0,0,0
8.996870498606059,2,5,6,26,39,26.688128458410745,1,0,0
7.852211431392344,3,18,4,66,34,8.637011073731824,0,0,1
45.086351608004186,2,12,4,69,17,10.470573777147662,0,1,0
46.77721287000052,2,6,6,74,16,17.304322548857836,0,1,0
56.937138852340865,1,21,0,50,30,14.587146448429058,0,1,0
31.549375096010998,3,10,2,26,47,21.55712605170727,0,0,0
0.9150292338510839,2,6,6,31,25,19.1000787507382,1,0,0
1.5086428661962836,3,12,1,73,21,5.344816622735384,0,0,1
16.276438202223197,4,12,2,49,44,79.39590261450911,0,0,0
23.268880818692622,4,20,6,54,35,12.227367762712095,0,1,0
131.69628242226668,3,0,6,23,34,24.52526736530984,0,1,0
22.571605487450658,2,18,3,22,10,22.434222783192617,0,0,0
4.646322301236089,3,18,3,21,26,15.989390907132158,0,0,0
54.230702327141366,3,22,2,77,33,15.836800265473968,0,0,0
19.572440125929322,4,14,5,65,17,30.794404496587582,0,1,1
10.989253290953258,3,13,3,33,26,9.891830537394727,0,1,0
1.7826497625624578,5,2,1,27,3,26.459166611776226,0,1,0
22.82326732154715,5,20,5,48,16,20.13427725890449,0,1,0
28.310333135507832,4,19,1,48,5,39.479855688580685,0,1,0
4.507670692095089,2,3,4,31,41,7.415674919371931,0,0,0
61.346411814140836,2,6,3,30,10,13.254116689147594,0,1,0
53.63464375360216,4,0,6,77,4,5.179714502008327,0,1,0
21.614597002238074,2,22,5,21,17,36.95763960965321,1,1,0
20.441850344792083,1,23,2,63,24,5.816747609262108,0,0,0
83.01793094916347,5,18,5,43,9,16.98022971064734,1,0,0
34.85844922045234,1,2,6,41,40,7.739282549085597,0,0,0
7.004948490942744,1,19,4,73,15,38.13699809934626,0,0,0
14.932313777587165,1,14,1,26,9,11.489905906778976,0,1,0
46.30611857014296,4,12,4,52,9,23.362680599177764,0,1,0
0.9526750717600705,1,21,0,59,35,4.121268489403778,0,1,0
4.966477949495602,3,13,3,32,20,6.480490053917638,0,1,0
55.879998050888986,2,6,2,41,13,22.354808844060315,0,1,0
123.13932111148512,4,0,1,48,7,44.29857909814471,0,0,0
92.90459537334189,3,12,4,36,0,20.61610360921677,0,0,0
76.70293459802042,3,3,2,19,15,132.02414428314836,0,1,0
24.400796958690286,5,11,3,19,25,26.88261885609787,0,0,0
4.291536749526375,5,6,6,58,48,12.379230980019063,0,1,0
14.955287603241377,3,1,2,53,41,8.837481448992765,0,1,0
1.0101475649290905,5,16,3,54,5,74.96852786561864,0,1,0
141.31396672932578,2,0,3,51,38,27.31531986553457,0,1,0
5.896333967161344,2,13,3,74,49,7.275936395555868,0,0,0
9.024845274436247,5,21,4,56,1,6.303549494811658,0,1,0
98.29061789046105,1,20,6,36,8,6.273040836032689,0,1,0
1.782576098384199,3,0,3,55,4,20.31280858025774,0,1,0
3.3733154168338824,2,2,2,40,39,2.6693931493734326,0,1,0
30.022797680117463,5,10,6,33,4,7.308648875531218,0,0,0
43.84105129411527,5,6,0,63,46,16.404029631324896,0,0,0
18.037425742268443,2,8,2,61,7,12.523564454513147,0,1,0
18.941879752630076,2,21,4,23,4,7.729209460497701,1,0,0
134.634935067605,1,2,3,75,4,24.40589512432588,1,0,0
52.16843756093895,5,0,6,76,16,24.2813270345345,0,1,0
42.59576783702065,5,18,0,43,8,9.811304077679027,0,1,0
64.29422020077757,4,1,4,39,33,7.160452071274793,0,1,0
12.795769237478746,1,20,1,62,32,28.92125824099553,0,1,0
523.087365110433,2,23,1,64,21,10.394515975889062,0,1,0
0.630465226411414,2,4,1,41,20,12.354844654667536,0,1,0
178.90975848533895,3,16,0,63,42,26.651533759014754,0,1,1
77.72378145020343,2,18,6,57,14,4.055000549786986,0,0,0
29.149343098444902,5,4,2,38,0,7.255417905055169,0,0,0
22.64736334181587,2,22,0,47,6,9.384702930750018,0,0,0
15.905581005839617,5,20,6,69,22,82.03517347104402,0,1,0
105.12660460366263,5,13,0,28,46,3.481257575537398,0,0,0
18.91969208662788,1,9,6,70,5,12.676883214360211,0,1,0
6.7407614324394745,2,20,0,26,19,5.019938147232404,0,1,0
77.70925233714293,1,6,1,29,25,122.63554099968398,1,1,0
216.40450205784893,5,7,5,43,41,15.907918340293847,0,1,0
1.1154370658135535,2,7,6,55,11,4.6967570581607205,0,1,0
689.2732255327018,2,6,6,68,12,2.349074959908857,0,0,0
4.24144093090659,1,12,6,20,46,22.466138848331163,0,0,0
