device_id,temperature,humidity,pressure,cpu_usage,memory_usage,network_latency,packet_loss,device_type,device_age_days,battery_level,vibration,power_consumption,is_anomaly
1,21.659357497610163,68.45612752097024,1024.635706905515,58.0340231956867,59.49268891442191,5.015339706772029,0.30491458676233313,controller,117,67.72746693228342,0.06043137287122596,1.7813455047567914,0
2,22.50895238049452,70.36369529298081,1027.6460611530304,31.752093252404336,73.37098475580926,7.841902534326087,0.13326035771332503,sensor,387,50.27223842068119,0.20132189140453552,7.651179090709906,0
3,28.092879101377186,28.698357394425763,1003.3979083945196,35.391623935288465,54.00877148390183,17.587206241917258,0.06658808746649451,actuator,7,75.30709348878155,0.5933887412421701,3.1841470704871875,1
4,27.843461239400842,69.76036522098127,993.0929241671504,28.508700292199325,82.90847304162506,3.9459147429789923,0.017733426857646332,sensor,117,79.90737771312725,0.33603376430121934,2.3621031160631945,0
5,31.752547406379698,41.96976142640655,1000.3794777469434,50.53061886990447,19.525102698616983,4.5464557739835,0.008345302926777832,actuator,43,56.3844936817708,0.9582544943692265,3.170324480198201,0
6,33.14794266397003,73.18624755105301,1015.7397843314473,22.228831555334143,59.33272560678445,8.809338217484065,0.04783244626736672,controller,292,11.579109460137964,0.3176593113811307,1.7319828260820946,0
7,26.509831059027277,49.82446433860781,1007.170402620179,48.67527425402772,55.396427298654004,15.66949365487468,0.009129767940939849,sensor,41,57.00782209198708,0.2951389580186467,2.354972373079245,0
8,27.24741588330194,61.862984758903075,1004.6932870108519,13.891077535486982,57.798513527526715,3.2455539914345097,0.011681593382078574,controller,86,89.74286217166917,0.020863606371260186,2.4697671653039257,0
9,23.27094441516201,52.71593258119188,996.5529018569058,12.4088093993956,79.96402693833005,3.187178704311637,0.029838490740015787,sensor,465,59.62849061154575,1.213454865000797,1.474503790189149,0
10,23.423845851438475,44.729636914894556,1033.0332261325245,49.0466680940118,46.37595656368544,3.1693388926109702,0.11523510744782811,gateway,248,71.83580472890476,0.44221450067827955,2.2541124171869766,0
11,14.920143272555993,59.306959540991976,1004.1830263369527,70.23980668276506,27.63916068336117,3.615281665452662,0.07747360563024833,sensor,94,75.23982825485729,0.6924552350683444,2.549596948639542,0
12,19.34884381667969,44.47640183410681,1007.2467887169753,15.533822593927527,49.781960022027896,11.839411006617055,0.03947614158295927,sensor,209,84.24842205397522,0.3208382115365375,3.6088073734384016,0
13,19.440769671540323,74.48351719948388,1013.338338758949,49.7506111834139,15.869113518217004,4.995040794469238,0.017548873721230835,controller,181,27.335838048330018,0.9585661917147379,2.43297633528903,0
14,26.18925554600146,66.00632241524086,1018.095367186925,37.30139861662477,32.12007652482097,4.334615919269741,0.044842201561762565,controller,24,25.773216487447453,0.16586160895189747,5.372403540976044,0
15,23.374351665536143,73.88736969312855,1004.9943271309654,37.18604364547496,33.79798712072971,22.560682555651812,0.028434795050283172,actuator,14,63.59468725833657,0.08176225155805247,2.2293498115082504,0
16,34.723511966070554,68.44019849796949,1003.0598996707848,58.56547474707652,23.856580202545246,7.571592417397424,0.0018264235493614966,sensor,244,55.97138786737621,0.008803862460276259,4.671077824852994,0
17,34.578380158258824,57.220402454882624,1010.0566076820032,12.019664541068476,18.236370984999972,8.426198656375494,0.07241992666194763,actuator,648,74.95130207809198,0.4997901588665056,2.4543553930826225,0
