transaction_id,transaction_amount,hour_of_day,day_of_week,customer_age,account_balance,transactions_last_day,transactions_last_week,avg_transaction_amount,distance_from_home,is_mobile,is_online,is_fraud
1,3.9414713593178052,16,3,18,961.7941786916145,3,27,30.61027731869346,22.526791882219403,1,0,0
2,89.65941103867175,15,0,32,3274.014327659962,4,21,44.155917608211496,166.17716326689123,1,0,0
3,30.706296984994555,14,5,27,4706.650219235521,3,20,300.86215399589605,29.8144509708683,0,0,0
4,2.097105224234764,6,3,35,2541.15091492363,4,27,48.709234657314596,49.44890560392523,0,0,0
5,8.432553412412826,1,2,42,2251.7436611455782,2,26,107.50701016662812,68.90026109282758,0,0,0
6,239.1652667517448,14,0,38,4241.166854475436,6,29,395.7326342142246,66.73637780591896,1,1,0
7,1.0,12,3,46,3794.716242018828,2,23,52.57468750146168,35.75597499392401,1,1,0
8,10.555331172705388,1,6,33,2320.6097471970493,4,26,229.97447946236542,118.66481259083699,0,0,0
9,134.1427307676488,3,1,27,957.1977226330897,1,23,13.627359310672771,18.816184394060016,1,1,1
10,5.473341988027573,7,6,40,45326.59311512388,4,19,581.025647739644,48.395746664924005,1,0,0
11,7.254854076071762,14,2,18,9650.145178939922,7,27,903.9655358774152,99.15367876261715,1,1,0
12,17.42553303799798,21,6,56,1997.1496997218326,3,21,52.799694773684415,35.11265268189128,1,1,0
13,188.1208243642612,6,0,39,2672.0758874215794,6,24,33.50134823158973,14.809285777204042,1,0,0
14,7.703286107074911,3,2,34,3725.7902049172167,7,22,80.4084120221082,24.999306793607413,1,0,1
15,10.319414877515888,0,4,51,932.3174208752897,5,25,11.374123284163437,9.345333581730507,0,0,0
16,10.469571384665434,2,6,28,1864.5916158244543,5,30,18.777005502245032,8.047594574388013,1,1,0
17,549.4375530079669,20,2,38,5231.472109630888,5,34,376.1030725660837,36.30117158471769,0,1,0
18,533.8842918010135,13,2,37,1568.6831054838815,7,25,16.92154112006725,117.16853161654048,1,0,1
19,90.56617933364626,13,1,69,5771.254989378184,7,31,59.127660423921526,24.917733637297975,0,0,0
20,35.847706810388544,14,0,41,1829.5039086718834,7,21,37.85236470773354,82.64784928135562,1,1,0
21,60.706626724479065,2,2,18,12533.493829148152,6,24,157.62793539866516,60.10967623061491,0,1,0
22,187.93535404367026,10,6,57,2376.24219929586,4,26,44.18346201581634,115.01776810093989,1,0,1
23,4.934489374880675,20,4,34,15414.506092097858,4,25,159.07540674134253,3.9062800701502787,1,1,0
24,117.18379119249008,9,6,39,2927.8782910537466,3,26,35.39389090164345,19.674901766458426,1,0,1
25,3.0623389856564125,13,3,36,2935.101826027879,7,26,56.30480892406205,139.27783331598263,1,1,0
26,7.716591463916661,12,3,54,18308.009497027913,2,25,678.1138169194778,18.35169136841215,1,1,0
27,78.30862840747568,5,6,29,6326.706212396056,10,22,114.5959592763924,42.874533293429806,1,0,0
28,2.356032239422319,11,3,36,8281.374455865493,11,29,125.23678962793643,26.450728853746234,1,1,0
29,16.279341636154125,7,1,62,889.4693706558327,5,30,10.697502077366655,87.93031709232199,0,1,0
30,5.514426489152184,15,5,20,1676.591228951207,9,23,67.9827650764495,106.141589305015,1,1,0
31,13.688703685510578,7,0,42,2144.792853609676,6,19,55.017427937288964,20.915375136938145,1,1,0
32,1.0,10,5,44,2864.3944556663005,3,17,50.21675001514564,5.060533461378213,0,1,0
33,1.4087465582354914,23,1,21,4498.675563342059,5,25,48.89139538478149,7.107358489159083,0,1,0
34,7.029982019255265,11,3,32,5865.611645159691,8,24,125.89453302135799,144.657130910914,0,1,0
35,80.73673269699468,16,4,31,5687.281108664244,4,24,364.4168722660317,60.59062939383614,1,1,0
36,15.479962966514213,6,6,39,4765.955376926308,3,27,206.07594655153434,229.01105494008988,1,1,1
37,20.17146281934393,16,3,54,4858.857301449227,3,29,158.5994877061938,20.64446905260391,0,1,0
38,56.39238133424837,14,5,26,1444.9763723025096,8,29,15.054744554663609,29.57776176148305,0,1,1
39,5.369288935387241,10,1,63,1206.2007847463526,6,15,18.30388219734947,44.14266306784571,1,1,0
40,30.736196086615518,14,1,63,2309.774174711913,2,28,33.09318501049183,6.22725671254415,1,1,0
41,6.001144631208961,4,3,39,3084.762490111748,3,22,58.98676760383105,20.786993050888576,0,1,0
42,1.504552871663475,19,6,45,3177.0963472956705,2,21,47.80277120404573,31.977862642242822,1,0,0
43,11.1746778167412,12,4,46,1805.087611584895,5,19,35.79445495669783,25.64815525320131,0,1,0
44,47.499006432323554,11,5,53,999.4293492808572,5,27,12.443967279320692,5.900062374045394,0,0,1
45,33.377551942693,19,4,33,3208.308226665476,3,23,50.94387976615975,58.60590023737397,0,1,0
46,19.73224812968972,14,6,43,2579.7949408001855,8,23,63.89327735113684,50.70669558838332,1,1,0
47,726.7248254291134,10,4,59,743.0294207116518,5,18,10.650521036307909,3.55247009302993,0,1,1
48,37.31398690701825,0,3,43,4327.362579973918,6,33,62.351908905913014,98.67152272330871,1,1,0
49,87.1912523596204,13,6,52,397.9487244381402,5,24,7.785554873291174,33.013160206528724,1,1,1
50,576.638185182425,19,5,21,5351.844828238844,7,34,74.86362560691839,5.74686405988873,1,1,0
51,2.8831170423789128,17,2,45,313.430984902793,8,27,4.386603309548741,29.492274401144126,1,1,0
52,4.228374687943954,13,2,43,530.8488147571595,4,23,6.181583790198296,72.43886316525835,1,0,0
53,274.66943983701947,19,5,42,3178.943275785875,4,28,204.7459357508543,30.01080655504672,1,1,0
54,6.067252684759309,10,0,30,3206.3252287920113,7,15,42.45646604735497,2.190018707291681,0,1,0
55,21.00005056242389,10,3,18,2274.973506206814,2,28,67.64600055604568,7.441172265542642,0,1,0
56,99.88044833485424,19,3,46,3834.657499600387,5,25,114.8677125311494,176.67853870177984,0,0,0
57,76.40587468047174,23,6,31,1383.6743678307812,8,11,42.8580885900772,8.537747316452629,1,1,0
58,279.31195430155526,17,6,44,1700.885784792496,3,24,35.779722461245655,28.332031267907425,1,0,0
59,189.3252064685515,21,6,66,3319.3606446877698,5,22,89.3199686849903,141.62755823490238,1,1,0
60,99.89194028365706,6,6,20,710.3480217116359,6,30,7.57631365420357,2.956473448146447,1,1,1
61,6.302440432513305,18,4,46,304.4772757167709,3,27,6.237056254305838,46.05992317821725,1,0,0
62,66.17442120796682,12,6,43,1429.8495988316104,11,24,58.084754613435635,7.860218867555411,0,1,0
63,32.18202258286853,6,0,58,5146.099192429777,5,29,59.66224681136272,5.151266970060786,1,1,0
64,2.747253842703294,7,4,26,665.8666500898236,4,22,13.034902250269472,65.59230719466342,1,1,0
65,168.33374223368145,21,0,44,6581.268487166755,2,18,206.42448129248405,33.66768030093517,0,1,0
66,67.41414092141957,22,2,34,3858.0130962829385,2,18,54.42502784152971,45.606244795558844,1,1,0
67,21.50391735181224,13,3,39,1031.4756163370985,5,23,28.101743621934936,101.3208109103252,1,1,0
68,14.159162039645919,1,3,37,3837.0596094750513,7,26,39.62895302178704,3.9787680936470684,0,0,0
69,3.3285883092394815,17,6,37,1833.4249767980452,3,35,33.738761279046656,4.6466898369202685,0,0,0
70,27.093290395199386,12,6,20,7105.807763308309,4,22,165.31090977348285,152.58321884357656,1,1,0
71,40.55498384476317,21,4,18,6124.107773382861,8,23,100.5655277866417,36.47007397136482,0,1,0
72,5.773436729860997,16,1,52,2454.492471331932,4,22,31.57626880124319,177.04974561255145,1,1,0
73,114.81315565862499,14,3,20,10892.485026229417,4,26,116.95581346843277,1.466220646708521,0,1,0
74,3.8736430865782663,8,0,50,15847.322122935466,2,23,1318.8511147724744,41.43376358712869,0,1,0
75,1.0,2,1,44,3870.2635161290004,10,21,93.48254981614393,36.38821323219599,0,1,0
76,95.54435943461723,18,3,33,16914.518935177904,7,21,512.3249218143678,38.38005424017169,1,1,0
77,10.96766000370617,14,0,25,1566.0617250992048,4,33,20.141005939804234,14.305766629053544,0,1,0
78,16.625798609177938,10,0,33,2205.844159773048,1,23,46.31485643207563,18.490386284352578,0,0,0
79,5.718605121425604,5,2,23,2318.390750520072,5,23,83.2819278793182,47.986252859077794,1,1,0
80,1.805894178596348,12,3,57,2691.9915035461295,10,28,95.1398320117196,28.253317838469194,0,1,0
81,132.0071466074494,1,6,26,1470.8140175238848,6,23,131.36582062182697,35.09576524316887,0,1,1
82,7.147027415885806,23,3,41,2852.83106666814,7,23,35.46375891814191,10.312101675148712,1,1,0
83,242.60357491006064,14,1,44,11585.246561111897,6,30,153.08414429567594,114.5634919856027,1,0,0
84,67.42138681063919,19,6,22,5983.495568320012,6,22,67.49128574780853,69.6765364275979,1,1,0
85,12.526705181297894,21,0,21,1215.9882911957282,8,30,21.310968284851114,35.8416088580265,0,1,0
86,3.9398647618204787,9,3,37,4148.688474245509,4,24,85.22202094915463,5.1639645097294515,1,0,0
87,6.6946387527429145,9,1,32,3080.4017773997452,5,16,103.91685283333584,28.520200882844737,0,1,0
88,3.2583316590519713,12,0,46,2046.7890996856927,9,32,22.907661173981115,7.349974886569156,1,1,0
89,459.74410415684,13,6,28,2132.2725435140055,9,31,47.683277354446545,157.46206390194226,1,0,1
90,25.704391308623993,5,1,30,1651.1249130981419,11,35,117.82654688964905,61.35022339877245,0,1,0
91,112.76526010313287,6,2,25,10001.289538889878,6,29,102.1641137483545,25.150788929559596,1,0,0
92,3.001079107481946,14,5,25,4954.692429795792,6,22,324.5890536878069,104.80005776634786,1,1,1
93,26.35222454530042,7,0,44,404.84745413206946,4,18,9.918714924878538,47.411325851482715,1,1,0
